	id	Judge	Clerk	Began Service:	Term Expires:	E-mail:	Education:	Career:
4	0	 Aaron E. Goodstein	 The Honorable Myron L. Gordon, United States	N / A	N / A	N / A	N / A	N / A
5	0	 Aaron E. Goodstein	 Maria L. Kreiter 	N / A	N / A	N / A	N / A	N / A
24	1	 Alan B. Johnson	 Sherrill Veal	N / A	N / A	N / A	N / A	N / A
23	1	 Alan B. Johnson	 Bryan S. Dearinger	N / A	N / A	N / A	N / A	N / A
64	2	 Alan Kay	 Joanne Werdel	N / A	N / A	N / A	N / A	N / A
62	2	 Alan Kay	 The Honorable Alexander Holtzoff, United States	N / A	N / A	N / A	N / A	N / A
63	2	 Alan Kay	 The	N / A	N / A	N / A	N / A	N / A
65	2	 Alan Kay	 Deborah Mulligan	N / A	N / A	N / A	N / A	N / A
15	3	 Barbara B. Crabb	 Denise Oliveira	N / A	N / A	N / A	N / A	N / A
13	3	 Barbara B. Crabb	 Daniel Kennedy 	N / A	N / A	N / A	N / A	N / A
14	3	 Barbara B. Crabb	 Cecelia Klingele	N / A	N / A	N / A	N / A	N / A
102	4	 Bernard Markovitz	 Ronald Haver,	N / A	N / A	N / A	N / A	N / A
103	4	 Bernard Markovitz	 Elsie Martin 	N / A	N / A	N / A	N / A	N / A
125	5	 Bohdan A. Futey	 Nicole Kaplan	N / A	N / A	N / A	N / A	N / A
124	5	 Bohdan A. Futey	 Jill Newell	N / A	N / A	N / A	N / A	N / A
123	5	 Bohdan A. Futey	 Karen Groen	N / A	N / A	N / A	N / A	N / A
84	6	 Camiile L. Velez-Rive	 Ines M. Mendez	N / A	N / A	N / A	N / A	N / A
186	7	 Carleton D. Powell	 The Honorable Robert A. Grant, United States	N / A	N / A	N / A	N / A	N / A
73	8	 Carmen Consuelo Cerezo	, United States District Court (1967-1972)	N / A	N / A	N / A	N / A	N / A
113	9	 Charles F Lettow	 Ben C. Duniway, United States Court of Appeals for	N / A	N / A	N / A	N / A	N / A
114	9	 Charles F Lettow	 Warren E. Burger, Supreme	N / A	N / A	N / A	N / A	N / A
106	10	 Christine Odell Cook Miller	 Fhe Honorable David T. Lewis, United States Court	N / A	N / A	N / A	N / A	N / A
37	11	 Colleen Kollar-Kotelly	 Vanessa Schlueter	N / A	N / A	N / A	N / A	N / A
35	11	 Colleen Kollar-Kotelly	 The Honorable Ceitestins B. Kelly, District of	N / A	N / A	N / A	N / A	N / A
36	11	 Colleen Kollar-Kotelly	 David Armillel 	N / A	N / A	N / A	N / A	N / A
98	12	 Curtis V. Gomez	 Joseph Bartels	N / A	N / A	N / A	N / A	N / A
99	12	 Curtis V. Gomez	 Kendra Nielsam	N / A	N / A	N / A	N / A	N / A
75	13	 Daniel R. Dominguez	 Gladys M. Steffens-Guzman	N / A	N / A	N / A	N / A	N / A
74	13	 Daniel R. Dominguez	 Jose A. Figueroa	N / A	N / A	N / A	N / A	N / A
192	14	 David R. Hansen	 and Associate Attorney, Jones, Cambridge & ~~	N / A	N / A	N / A	N / A	N / A
59	15	 Deborah A. Robinson	 The Honorable H. Carl Moulitie, Superior Court of	N / A	N / A	N / A	N / A	N / A
60	15	 Deborah A. Robinson	 Sharon Rice 	N / A	N / A	N / A	N / A	N / A
61	15	 Deborah A. Robinson	 Jaron Shipp 	N / A	N / A	N / A	N / A	N / A
