	id	Judge	Education:	Began Service:	Appointed By:	Circuit Assignment:	Government:	Judicial:	Legal Practice:
25	0		 March 3, 1975	 President Gerald Ford	N / A	 Assistant United States Atney District of Alaska, United States Department of Justics (1952-1956); City Attorney, State of Alaska {1956-1959}; Legal Counselor, Governor William Alien Egan (R-AK), Office of the Govemor, State of Alaska (1959); Commissioner of Public Safety, State of Alaska (1959)	 Judge, Alaska Superior Court, Third District (1959-1972);	N / A	 Alaska Bar Association Staff
360	1	 (half-time) Larry A. United States District Court for the	 1990 ,	 President George H.W. Bush	N / A		 Judge, County Court (1986-1987); Judge, Florida Circuit Court Academie: Adjunct Instructor, European Division, University of Maryland Administrative Secretary Judy Snyder. . 4 pee ee (305) 523-5001 (1987- 1990) University College (1975-1977); Instructor, Miami Educational	 Rollins, Peeples & M 1978-19 Consortium, Embry Riddle College, Homestead Air Force Base =r Genene Rankrmintey Court forthe 000) ee eee 5) 523-5010 egal Practice: Rollins, Peeples eadows ( 79); el ° United States Bankruptcy Court for the (Vacant)... 00.22. eee eee tenes (305) Thornton, Rothmen & Moreno (1982-1986) (1978-1979) Northern District of Florida {10 East Park Avenue, Suite 100, Tallahassee, FL 32301 Chief Deputy, Operations [Operations] : Debra K ‘Kemal ee ee (305) 523-5020	 American Judges Association; Federal Bar - Government: Assistant U.S. Attorney, Florida - Southern District, Executive ane Pierce Colette Griffin-Amold . . . (772) 467-2300 Association Office for United States Attorneys, United States Department of Justice Tel: (850) 524-5001, Tel: (866) 639-4615 (Pensacola) eno S eS vatvlawe EL 34950 , (1979-1983) Internet: www-finb.uscourts.gov Federal Public Defender Kathleen Williams........-.-. (305) 536-6900 
260	2	 (part-time) David L.	 2004-	N / A	N / A	N / A	N / A	N / A	N / A
6	3	 (part-time) Leslie	 February 2007	N / A	N / A	N / A	N / A	N / A	N / A
7	4	 (part-time) Matthew D.	N / A	N / A	N / A	N / A	N / A	N / A	 Alaska Bar Association 
127	5	 (part-time) Rita C.	 December 27, 2004	N / A	N / A	N / A	N / A	N / A	N / A
175	6	 (recalled) David E.	 November 3, 1986	N / A	N / A	N / A	N / A	 Staff Accountant, Lybrand Ross Bros & Montgomery (1960-1963); Robert C. Burnstein (1964-1965); Russell & Humphreys (1965-1966); Partner, Russell, Humphreys & Estabrook (1966-1968); Partner, Russell, Humphreys, Estabrook & Dashiell (1968-1971); Partner, Russell, Jarvis, Estabrook & Dashiell (1971-1986)	 National Conference of Bankruptcy Judges; Sacramento County Bar Assocaition; State Bar of California United States District Court for the Northern District of California Federal Building, 450 Golden Gate Avenue, San Francisco, CA 94102 PO. Box 36660, San Franciseo, CA 94102 , : Tel: (415) 522-2000 Tel: (415) 522-2144 (PACER) Fax: (415) 522-3605 Internet: www.cand, uscourts. gov Number of Judgeships: 14° Number of Vacancies: 2 Areas Covered: Counties of Alameda, Contra Costa, Dei Norte, Humboldt, Lake, Marin, Mendocino, Monterey, Napa, San Benito, San Francisco, San Mateo, Santa Clara, Santa Cruz and Sonoma Court 
9	7	 (recalled) Herbert A.	N / A	N / A	N / A	N / A	N / A	N / A	N / A
59	8	 (recalled) James G.	 December 1, 2006	N / A	N / A	 Assistant United States Attorney, Eastern District of Arkansas, United States Department of Justice (1969-1973); City Attorney, State of Arkansas (1975-1977); Member, Office of the City C Council, cay of Bentonville, Arkansas (1978-1982) my	 Chief Bankruptcy Judge, United States Bankruptcy Court for the © Eastern District of Arkansas; Bankruptcy Judge, United States Bankruptcy Court for the Western District of Arkansas (1984-2006); Bankruptcy Judge, United States Bankruptcy Court for the Eastern District of Arkansas (1984-2006)	 Private Practice (1969-1973); Partner, Little, McCollum & Mixon (1973-1984) Military Service: United States Navy (1963-1965)	 Arkansas Bar Association; Debtor-Creditor Bar Association of Central Arkansas; National Conference of Bankruptcy Judges; Pulaski County Bar Association 
400	9	 (recalled) Peter R.	 January 1, 1971	N / A	N / A	N / A	N / A	N / A	 Peter T. Fay American Inn of Court, The American Inns of Court; American Judicature Society; Dade County Bar Association; Eleventh Circuit Historical Society; Federal Bar Association; Federal Magistrate Judges Association; Florida Association for Women Lawyers; The Florida Bar; Florida Historical Society; The Justinian Society; League of Municipal Judges 
401	10	 (recalled} Robert L.	 1996	N / A	N / A	N / A	N / A	N / A	N / A
264	11	 A. Bruce Campbell	 March 22, 2001	N / A	N / A	N / A	N / A	N / A	N / A
76	12	 A. Howard Matz	 July 10, 1998	 President William J. Clinton	N / A	 Assistant United States Attorney, Central District of	N / A	 Associate, Hughes, Hubbard & Reed (1970-1974), Partner, Hughes, Hubbard & Reed (1979-1983); Principal, Bird, Marella, Boxer, Wolpert & Matz, PC (1983-1998)	 American Bar Association; Federal Bar Association; Los Angeles County Bar Association; The New York State Bar Association; State Bar of California 
